DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,Country code,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,ER_2010,ER_2011,ER_2012,ER_2013,ER_2014,ER_2015,ER_2016,ER_2017,ER_2018,ER_2019,ER_2020,ER_2021,ER_2022,ER_2023,ER_2024,ER_2025
IMF.STA:ER(4.0.1),ZAF.XDC_USD.PA_RT.A,OBS_VALUE,South Africa,ZAF,Domestic currency per US Dollar,Period average,Annual,Units,7.321221961,7.261132132,8.209968627,9.655056069,10.85265557,12.75893088,14.70961089,13.32380142,13.23392647,14.44842705,16.45910539,14.77867821,16.35585348,18.45024418,18.32865755,
IMF.STA:ER(4.0.1),AFG.XDC_USD.PA_RT.A,OBS_VALUE,"Afghanistan, Islamic Republic of",AFG,Domestic currency per US Dollar,Period average,Annual,Units,46.452461,46.74700774,50.9214,55.3775,57.2475,61.14346154,67.86608577,68.02690408,72.08324718,77.73794918,76.81353644,,,,,
IMF.STA:ER(4.0.1),GBR.XDC_USD.PA_RT.A,OBS_VALUE,United Kingdom,GBR,Domestic currency per US Dollar,Period average,Annual,Units,0.647179346,0.624140836,0.633046989,0.639660578,0.607729627,0.654545479,0.740634464,0.776976682,0.74953154,0.78344511,0.779999577,0.727064945,0.811301716,0.804538907,0.782414581,
IMF.STA:ER(4.0.1),TWN.XDC_USD.PA_RT.A,OBS_VALUE,Taiwan Province of China,TWN,Domestic currency per US Dollar,Period average,Annual,Units,31.64741667,29.46891667,29.61558333,29.77083333,30.37025,31.90758333,32.32533333,30.44241667,30.16266667,30.927,29.58325,28.0235,29.80633333,31.15758333,32.11133333,
IMF.STA:ER(4.0.1),VCT.XDC_USD.PA_RT.A,OBS_VALUE,St. Vincent and the Grenadines,VCT,Domestic currency per US Dollar,Period average,Annual,Units,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,
IMF.STA:ER(4.0.1),MDV.XDC_USD.PA_RT.A,OBS_VALUE,Maldives,MDV,Domestic currency per US Dollar,Period average,Annual,Units,12.8,14.6020084,15.36483532,15.36671003,15.38039352,15.36633122,15.36840768,15.38696851,15.39083727,15.38204192,15.38126953,15.37269841,15.386625,15.38679435,15.38919633,
IMF.STA:ER(4.0.1),PLW.XDC_USD.PA_RT.A,OBS_VALUE,"Palau, Republic of",PLW,Domestic currency per US Dollar,Period average,Annual,Units,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
IMF.STA:ER(4.0.1),DMA.XDC_USD.PA_RT.A,OBS_VALUE,Dominica,DMA,Domestic currency per US Dollar,Period average,Annual,Units,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,
IMF.STA:ER(4.0.1),ROU.XDC_USD.PA_RT.A,OBS_VALUE,Romania,ROU,Domestic currency per US Dollar,Period average,Annual,Units,3.1779,3.048608333,3.4682,3.327916667,3.349175,4.005666667,4.059183333,4.052491667,3.941616667,4.237925,4.243991667,4.160416667,4.688475,4.574291667,4.598375,
IMF.STA:ER(4.0.1),SUR.XDC_USD.PA_RT.A,OBS_VALUE,Suriname,SUR,Domestic currency per US Dollar,Period average,Annual,Units,2.745416667,3.268,3.3,3.3,3.3,3.416666667,6.228630278,7.487661125,7.462511198,7.458,9.309545455,18.23866667,24.70917476,36.77586917,33.18055167,
